ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,15273,Notavailable,2.4,2.4,0.02,91-95
C62,Testis,11922,Notavailable,1.9,1.9,0.02,62
C82-86,Non-Hodgkinlymphoma,8097,Notavailable,1.3,1.3,0.01,82-86
C96,Non-Hodgkinlymphoma,8097,Notavailable,1.3,1.3,0.01,96
C70-72,"Brain,centralnervoussystem",7632,Notavailable,1.2,1.2,0.01,70-72
C81,Hodgkinlymphoma,6770,Notavailable,1.1,1.1,0.01,81
C73,Thyroid,4619,Notavailable,0.74,0.72,0.01,73
C18-21,Colorectum,3287,Notavailable,0.53,0.51,0.01,18-21
C22,Liver,2357,Notavailable,0.38,0.37,0,22
C00-06,"Lip,oralcavity",2250,Notavailable,0.36,0.35,0,00-06
C11,Nasopharynx,2158,Notavailable,0.35,0.34,0,11
C46,Kaposisarcoma,2099,Notavailable,0.34,0.33,0,46
C33-34,Lung,1459,Notavailable,0.23,0.23,0,33-34
C43,Melanomaofskin,1355,Notavailable,0.22,0.21,0,43
C16,Stomach,1300,Notavailable,0.21,0.2,0,16
C64-65,Kidney,919,Notavailable,0.15,0.15,0,64-65
C07-08,Salivaryglands,747,Notavailable,0.12,0.12,0,07-08
C67,Bladder,628,Notavailable,0.1,0.1,0,67
C15,Oesophagus,305,Notavailable,0.05,0.05,0,15
C25,Pancreas,277,Notavailable,0.04,0.04,0,25
C61,Prostate,225,Notavailable,0.04,0.04,0,61
C32,Larynx,220,Notavailable,0.04,0.03,0,32
C12-13,Hypopharynx,201,Notavailable,0.03,0.03,0,12-13
C09-10,Oropharynx,188,Notavailable,0.03,0.03,0,09-10
C88+C90,Multiplemyeloma,176,Notavailable,0.03,0.03,0,88-90
C60,Penis,161,Notavailable,0.03,0.02,0,60
C23,Gallbladder,79,Notavailable,0.01,0.01,0,23
C45,Mesothelioma,57,Notavailable,0.01,0.01,0,45
