ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,15799,Notavailable,2.5,2.5,0.02,91-95
C70-72,"Brain,centralnervoussystem",6644,Notavailable,1.1,1.1,0.01,70-72
C82-86,Non-Hodgkinlymphoma,4732,Notavailable,0.75,0.75,0.01,82-86
C96,Non-Hodgkinlymphoma,4732,Notavailable,0.75,0.75,0.01,96
C64-65,Kidney,2544,Notavailable,0.4,0.41,0,64-65
C81,Hodgkinlymphoma,2338,Notavailable,0.37,0.36,0,81
C56,Ovary,2198,Notavailable,0.35,0.34,0,56
C73,Thyroid,1655,Notavailable,0.26,0.26,0,73
C22,Liver,637,Notavailable,0.1,0.1,0,22
C11,Nasopharynx,454,Notavailable,0.07,0.07,0,11
C00-06,"Lip,oralcavity",370,Notavailable,0.06,0.06,0,00-06
C07-08,Salivaryglands,337,Notavailable,0.05,0.05,0,07-08
C46,Kaposisarcoma,280,Notavailable,0.04,0.04,0,46
C43,Melanomaofskin,266,Notavailable,0.04,0.04,0,43
C18-21,Colorectum,213,Notavailable,0.03,0.03,0,18-21
C50,Breast,126,Notavailable,0.02,0.02,0,50
C33-34,Lung,122,Notavailable,0.02,0.02,0,33-34
C16,Stomach,110,Notavailable,0.02,0.02,0,16
C67,Bladder,84,Notavailable,0.01,0.01,0,67
C53,Cervixuteri,80,Notavailable,0.01,0.01,0,53
C52,Vagina,80,Notavailable,0.01,0.01,0,52
C09-10,Oropharynx,60,Notavailable,0.01,0.01,0,09-10
C51,Vulva,54,Notavailable,0.01,0.01,0,51
C25,Pancreas,45,Notavailable,0.01,0.01,0,25
C32,Larynx,32,Notavailable,0.01,0.01,0,32
C54,Corpusuteri,31,Notavailable,0,0,0,54
C88+C90,Multiplemyeloma,30,Notavailable,0,0,0,88-90
C15,Oesophagus,17,Notavailable,0,0,0,15
C23,Gallbladder,13,Notavailable,0,0,0,23
C12-13,Hypopharynx,10,Notavailable,0,0,0,12-13
C45,Mesothelioma,2,Notavailable,0,0,0,45
