ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,38418,Notavailable,2.9,3,0.03,91-95
C70-72,"Brain,centralnervoussystem",15136,Notavailable,1.2,1.2,0.01,70-72
C82-86,Non-Hodgkinlymphoma,12883,Notavailable,0.99,0.99,0.01,82-86
C96,Non-Hodgkinlymphoma,12883,Notavailable,0.99,0.99,0.01,96
C81,Hodgkinlymphoma,6696,Notavailable,0.51,0.51,0.01,81
C64-65,Kidney,5093,Notavailable,0.39,0.4,0,64-65
C56,Ovary,2198,Notavailable,0.35,0.34,0,56
C73,Thyroid,2195,Notavailable,0.17,0.16,0,73
C22,Liver,1711,Notavailable,0.13,0.13,0,22
C11,Nasopharynx,1265,Notavailable,0.1,0.09,0,11
C62,Testis,905,Notavailable,0.13,0.13,0,62
C00-06,"Lip,oralcavity",827,Notavailable,0.06,0.06,0,00-06
C46,Kaposisarcoma,731,Notavailable,0.06,0.06,0,46
C07-08,Salivaryglands,710,Notavailable,0.05,0.05,0,07-08
C43,Melanomaofskin,557,Notavailable,0.04,0.04,0,43
C18-21,Colorectum,531,Notavailable,0.04,0.04,0,18-21
C67,Bladder,330,Notavailable,0.03,0.03,0,67
C16,Stomach,292,Notavailable,0.02,0.02,0,16
C33-34,Lung,273,Notavailable,0.02,0.02,0,33-34
C09-10,Oropharynx,130,Notavailable,0.01,0.01,0,09-10
C50,Breast,126,Notavailable,0.02,0.02,0,50
C32,Larynx,125,Notavailable,0.01,0.01,0,32
C25,Pancreas,97,Notavailable,0.01,0.01,0,25
C53,Cervixuteri,80,Notavailable,0.01,0.01,0,53
C52,Vagina,80,Notavailable,0.01,0.01,0,52
C88+C90,Multiplemyeloma,63,Notavailable,0,0,0,88-90
C60,Penis,57,Notavailable,0.01,0.01,0,60
C51,Vulva,54,Notavailable,0.01,0.01,0,51
C15,Oesophagus,46,Notavailable,0,0,0,15
C12-13,Hypopharynx,45,Notavailable,0,0,0,12-13
C61,Prostate,34,Notavailable,0.01,0.01,0,61
C54,Corpusuteri,31,Notavailable,0,0,0,54
C23,Gallbladder,21,Notavailable,0,0,0,23
C45,Mesothelioma,6,Notavailable,0,0,0,45
