ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,28590,Notavailable,4.2,4.2,0.02,91-95
C70-72,"Brain,centralnervoussystem",9252,Notavailable,1.4,1.4,0.01,70-72
C64-65,Kidney,8684,Notavailable,1.3,1.3,0.01,64-65
C82-86,Non-Hodgkinlymphoma,6048,Notavailable,0.89,0.89,0,82-86
C96,Non-Hodgkinlymphoma,6048,Notavailable,0.89,0.89,0,96
C22,Liver,2776,Notavailable,0.41,0.41,0,22
C62,Testis,1425,Notavailable,0.41,0.41,0,62
C81,Hodgkinlymphoma,904,Notavailable,0.13,0.13,0,81
C00-06,"Lip,oralcavity",401,Notavailable,0.06,0.06,0,00-06
C56,Ovary,276,Notavailable,0.08,0.08,0,56
C67,Bladder,266,Notavailable,0.04,0.04,0,67
C46,Kaposisarcoma,252,Notavailable,0.04,0.04,0,46
C11,Nasopharynx,238,Notavailable,0.04,0.04,0,11
C43,Melanomaofskin,200,Notavailable,0.03,0.03,0,43
C33-34,Lung,166,Notavailable,0.02,0.02,0,33-34
C52,Vagina,132,Notavailable,0.04,0.04,0,52
C07-08,Salivaryglands,128,Notavailable,0.02,0.02,0,07-08
C16,Stomach,124,Notavailable,0.02,0.02,0,16
C73,Thyroid,101,Notavailable,0.01,0.01,0,73
C18-21,Colorectum,84,Notavailable,0.01,0.01,0,18-21
C32,Larynx,82,Notavailable,0.01,0.01,0,32
C09-10,Oropharynx,77,Notavailable,0.01,0.01,0,09-10
C25,Pancreas,53,Notavailable,0.01,0.01,0,25
C50,Breast,43,Notavailable,0.01,0.01,0,50
C51,Vulva,38,Notavailable,0.01,0.01,0,51
C60,Penis,37,Notavailable,0.01,0.01,0,60
C61,Prostate,26,Notavailable,0.01,0.01,0,61
C88+C90,Multiplemyeloma,24,Notavailable,0,0,0,88-90
C12-13,Hypopharynx,20,Notavailable,0,0,0,12-13
C15,Oesophagus,15,Notavailable,0,0,0,15
C53,Cervixuteri,12,Notavailable,0,0,0,53
C23,Gallbladder,7,Notavailable,0,0,0,23
C45,Mesothelioma,7,Notavailable,0,0,0,45
C54,Corpusuteri,3,Notavailable,0,0,0,54
