ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C22,Liver,51561,Notavailable,4.5,4.5,0.1,22
C18-21,Colorectum,47275,Notavailable,4.1,4.2,0.09,18-21
C00-06,"Lip,oralcavity",46616,Notavailable,4.1,4.1,0.09,00-06
C62,Testis,40657,Notavailable,3.6,3.5,0.07,62
C73,Thyroid,39257,Notavailable,3.4,3.4,0.07,73
C82-86,Non-Hodgkinlymphoma,36293,Notavailable,3.2,3.2,0.07,82-86
C96,Non-Hodgkinlymphoma,36293,Notavailable,3.2,3.2,0.07,96
C91-95,Leukaemia,33423,Notavailable,2.9,2.9,0.06,91-95
C33-34,Lung,29868,Notavailable,2.6,2.7,0.06,33-34
C70-72,"Brain,centralnervoussystem",28712,Notavailable,2.5,2.5,0.05,70-72
C16,Stomach,25032,Notavailable,2.2,2.2,0.05,16
C11,Nasopharynx,20879,Notavailable,1.8,1.8,0.04,11
C64-65,Kidney,19266,Notavailable,1.7,1.7,0.04,64-65
C43,Melanomaofskin,16159,Notavailable,1.4,1.4,0.03,43
C15,Oesophagus,14909,Notavailable,1.3,1.3,0.03,15
C81,Hodgkinlymphoma,14691,Notavailable,1.3,1.3,0.03,81
C46,Kaposisarcoma,10988,Notavailable,0.96,0.96,0.02,46
C67,Bladder,9314,Notavailable,0.82,0.82,0.02,67
C25,Pancreas,7227,Notavailable,0.63,0.64,0.01,25
C32,Larynx,6740,Notavailable,0.59,0.6,0.01,32
C09-10,Oropharynx,5807,Notavailable,0.51,0.52,0.01,09-10
C12-13,Hypopharynx,4652,Notavailable,0.41,0.41,0.01,12-13
C61,Prostate,4546,Notavailable,0.4,0.41,0.01,61
C07-08,Salivaryglands,3995,Notavailable,0.35,0.35,0.01,07-08
C88+C90,Multiplemyeloma,3936,Notavailable,0.34,0.35,0.01,88-90
C60,Penis,3645,Notavailable,0.32,0.31,0.01,60
C23,Gallbladder,1947,Notavailable,0.17,0.17,0,23
C45,Mesothelioma,633,Notavailable,0.06,0.06,0,45
