ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,1079363,Notavailable,131.3,130.5,2.66,50
C33-34,Lung,784022,Notavailable,47.9,47.7,1.04,33-34
C18-21,Colorectum,675846,Notavailable,41.3,41.1,0.89,18-21
C61,Prostate,410132,Notavailable,50.4,51,1.16,61
C16,Stomach,396505,Notavailable,24.2,24.1,0.52,16
C22,Liver,390879,Notavailable,23.9,23.7,0.5,22
C53,Cervixuteri,293620,Notavailable,35.7,35.6,0.72,53
C73,Thyroid,262843,Notavailable,16.1,16,0.32,73
C15,Oesophagus,250717,Notavailable,15.3,15.2,0.33,15
C54,Corpusuteri,214268,Notavailable,26.1,25.8,0.55,54
C82-86,Non-Hodgkinlymphoma,190321,Notavailable,11.6,11.6,0.25,82-86
C96,Non-Hodgkinlymphoma,190321,Notavailable,11.6,11.6,0.25,96
C64-65,Kidney,175636,Notavailable,10.7,10.7,0.23,64-65
C00-06,"Lip,oralcavity",171624,Notavailable,10.5,10.4,0.22,00-06
C67,Bladder,162505,Notavailable,9.9,9.9,0.22,67
C25,Pancreas,144796,Notavailable,8.9,8.8,0.19,25
C56,Ovary,141960,Notavailable,17.3,17.1,0.36,56
C91-95,Leukaemia,131427,Notavailable,8,8,0.17,91-95
C70-72,"Brain,centralnervoussystem",115222,Notavailable,7,7,0.15,70-72
C43,Melanomaofskin,113660,Notavailable,7,6.9,0.15,43
C32,Larynx,89545,Notavailable,5.5,5.4,0.12,32
C11,Nasopharynx,68848,Notavailable,4.2,4.2,0.09,11
C88+C90,Multiplemyeloma,62189,Notavailable,3.8,3.8,0.08,88-90
C09-10,Oropharynx,53879,Notavailable,3.3,3.3,0.07,09-10
C12-13,Hypopharynx,41662,Notavailable,2.5,2.5,0.05,12-13
C23,Gallbladder,38478,Notavailable,2.4,2.3,0.05,23
C07-08,Salivaryglands,20305,Notavailable,1.2,1.2,0.03,07-08
C81,Hodgkinlymphoma,20167,Notavailable,1.2,1.2,0.03,81
C62,Testis,15023,Notavailable,1.8,1.9,0.04,62
C60,Penis,14692,Notavailable,1.8,1.8,0.04,60
C51,Vulva,13685,Notavailable,1.7,1.7,0.04,51
C45,Mesothelioma,8182,Notavailable,0.5,0.5,0.01,45
C46,Kaposisarcoma,8016,Notavailable,0.49,0.49,0.01,46
C52,Vagina,6901,Notavailable,0.84,0.83,0.02,52
