ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,420670,Notavailable,38.3,37.7,0.79,50
C73,Thyroid,183502,Notavailable,8.2,8.1,0.17,73
C53,Cervixuteri,172509,Notavailable,15.7,15.4,0.32,53
C18-21,Colorectum,93576,Notavailable,4.2,4.2,0.09,18-21
C22,Liver,65739,Notavailable,2.9,2.9,0.06,22
C82-86,Non-Hodgkinlymphoma,63437,Notavailable,2.8,2.8,0.06,82-86
C96,Non-Hodgkinlymphoma,63437,Notavailable,2.8,2.8,0.06,96
C91-95,Leukaemia,60927,Notavailable,2.7,2.7,0.06,91-95
C00-06,"Lip,oralcavity",58744,Notavailable,2.6,2.6,0.05,00-06
C56,Ovary,53301,Notavailable,4.9,4.8,0.1,56
C33-34,Lung,51018,Notavailable,2.3,2.3,0.05,33-34
C70-72,"Brain,centralnervoussystem",50649,Notavailable,2.3,2.2,0.05,70-72
C16,Stomach,48144,Notavailable,2.2,2.2,0.05,16
C43,Melanomaofskin,41233,Notavailable,1.8,1.8,0.04,43
C62,Testis,40657,Notavailable,3.6,3.5,0.07,62
C54,Corpusuteri,35210,Notavailable,3.2,3.2,0.07,54
C64-65,Kidney,30564,Notavailable,1.4,1.4,0.03,64-65
C11,Nasopharynx,29542,Notavailable,1.3,1.3,0.03,11
C81,Hodgkinlymphoma,25788,Notavailable,1.2,1.2,0.02,81
C15,Oesophagus,22439,Notavailable,1,1,0.02,15
C46,Kaposisarcoma,16255,Notavailable,0.73,0.72,0.01,46
C67,Bladder,14256,Notavailable,0.64,0.63,0.01,67
C25,Pancreas,11616,Notavailable,0.52,0.52,0.01,25
C32,Larynx,8337,Notavailable,0.37,0.38,0.01,32
C07-08,Salivaryglands,8018,Notavailable,0.36,0.36,0.01,07-08
C09-10,Oropharynx,7144,Notavailable,0.32,0.32,0.01,09-10
C88+C90,Multiplemyeloma,6763,Notavailable,0.3,0.3,0.01,88-90
C12-13,Hypopharynx,6670,Notavailable,0.3,0.3,0.01,12-13
C23,Gallbladder,6573,Notavailable,0.29,0.29,0.01,23
C61,Prostate,4546,Notavailable,0.4,0.41,0.01,61
C51,Vulva,4531,Notavailable,0.41,0.41,0.01,51
C60,Penis,3645,Notavailable,0.32,0.31,0.01,60
C52,Vagina,1940,Notavailable,0.18,0.18,0,52
C45,Mesothelioma,1216,Notavailable,0.05,0.05,0,45
