ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C73,Thyroid,20835,Notavailable,3.6,3.5,0.04,73
C91-95,Leukaemia,10302,Notavailable,1.8,1.8,0.02,91-95
C50,Breast,5929,Notavailable,1,0.97,0.01,50
C56,Ovary,5594,Notavailable,0.96,0.95,0.01,56
C70-72,"Brain,centralnervoussystem",5581,Notavailable,0.95,0.95,0.01,70-72
C81,Hodgkinlymphoma,5536,Notavailable,0.95,0.94,0.01,81
C53,Cervixuteri,5435,Notavailable,0.93,0.89,0.01,53
C82-86,Non-Hodgkinlymphoma,5431,Notavailable,0.93,0.92,0.01,82-86
C96,Non-Hodgkinlymphoma,5431,Notavailable,0.93,0.92,0.01,96
C43,Melanomaofskin,2848,Notavailable,0.49,0.48,0,43
C18-21,Colorectum,2750,Notavailable,0.47,0.46,0,18-21
C46,Kaposisarcoma,1388,Notavailable,0.24,0.23,0,46
C11,Nasopharynx,1369,Notavailable,0.23,0.23,0,11
C16,Stomach,1293,Notavailable,0.22,0.22,0,16
C22,Liver,1168,Notavailable,0.2,0.2,0,22
C33-34,Lung,1007,Notavailable,0.17,0.17,0,33-34
C00-06,"Lip,oralcavity",924,Notavailable,0.16,0.16,0,00-06
C07-08,Salivaryglands,900,Notavailable,0.15,0.15,0,07-08
C64-65,Kidney,865,Notavailable,0.15,0.15,0,64-65
C54,Corpusuteri,671,Notavailable,0.11,0.11,0,54
C67,Bladder,387,Notavailable,0.07,0.07,0,67
C25,Pancreas,344,Notavailable,0.06,0.06,0,25
C15,Oesophagus,335,Notavailable,0.06,0.06,0,15
C51,Vulva,215,Notavailable,0.04,0.04,0,51
C32,Larynx,195,Notavailable,0.03,0.03,0,32
C23,Gallbladder,135,Notavailable,0.02,0.02,0,23
C12-13,Hypopharynx,109,Notavailable,0.02,0.02,0,12-13
C88+C90,Multiplemyeloma,97,Notavailable,0.02,0.02,0,88-90
C52,Vagina,97,Notavailable,0.02,0.02,0,52
C09-10,Oropharynx,87,Notavailable,0.01,0.01,0,09-10
C45,Mesothelioma,42,Notavailable,0.01,0.01,0,45
