ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,16148,Notavailable,4.6,4.6,0.02,91-95
C70-72,"Brain,centralnervoussystem",5244,Notavailable,1.5,1.5,0.01,70-72
C64-65,Kidney,4399,Notavailable,1.3,1.3,0.01,64-65
C82-86,Non-Hodgkinlymphoma,3845,Notavailable,1.1,1.1,0.01,82-86
C96,Non-Hodgkinlymphoma,3845,Notavailable,1.1,1.1,0.01,96
C22,Liver,1605,Notavailable,0.46,0.46,0,22
C62,Testis,1425,Notavailable,0.41,0.41,0,62
C81,Hodgkinlymphoma,689,Notavailable,0.2,0.2,0,81
C00-06,"Lip,oralcavity",241,Notavailable,0.07,0.07,0,00-06
C67,Bladder,181,Notavailable,0.05,0.05,0,67
C11,Nasopharynx,180,Notavailable,0.05,0.05,0,11
C46,Kaposisarcoma,154,Notavailable,0.04,0.04,0,46
C43,Melanomaofskin,103,Notavailable,0.03,0.03,0,43
C33-34,Lung,99,Notavailable,0.03,0.03,0,33-34
C16,Stomach,84,Notavailable,0.02,0.02,0,16
C07-08,Salivaryglands,67,Notavailable,0.02,0.02,0,07-08
C32,Larynx,54,Notavailable,0.02,0.02,0,32
C18-21,Colorectum,45,Notavailable,0.01,0.01,0,18-21
C60,Penis,37,Notavailable,0.01,0.01,0,60
C09-10,Oropharynx,33,Notavailable,0.01,0.01,0,09-10
C73,Thyroid,31,Notavailable,0.01,0.01,0,73
C61,Prostate,26,Notavailable,0.01,0.01,0,61
C25,Pancreas,25,Notavailable,0.01,0.01,0,25
C12-13,Hypopharynx,14,Notavailable,0,0,0,12-13
C88+C90,Multiplemyeloma,13,Notavailable,0,0,0,88-90
C15,Oesophagus,10,Notavailable,0,0,0,15
C45,Mesothelioma,7,Notavailable,0,0,0,45
