ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,420670,Notavailable,38.3,37.7,0.79,50
C53,Cervixuteri,172509,Notavailable,15.7,15.4,0.32,53
C73,Thyroid,144245,Notavailable,13.1,13,0.27,73
C56,Ovary,53301,Notavailable,4.9,4.8,0.1,56
C18-21,Colorectum,46301,Notavailable,4.2,4.2,0.09,18-21
C54,Corpusuteri,35210,Notavailable,3.2,3.2,0.07,54
C91-95,Leukaemia,27504,Notavailable,2.5,2.5,0.05,91-95
C82-86,Non-Hodgkinlymphoma,27144,Notavailable,2.5,2.5,0.05,82-86
C96,Non-Hodgkinlymphoma,27144,Notavailable,2.5,2.5,0.05,96
C43,Melanomaofskin,25074,Notavailable,2.3,2.3,0.05,43
C16,Stomach,23112,Notavailable,2.1,2.1,0.04,16
C70-72,"Brain,centralnervoussystem",21937,Notavailable,2,2,0.04,70-72
C33-34,Lung,21150,Notavailable,1.9,1.9,0.04,33-34
C22,Liver,14178,Notavailable,1.3,1.3,0.03,22
C00-06,"Lip,oralcavity",12128,Notavailable,1.1,1.1,0.02,00-06
C64-65,Kidney,11298,Notavailable,1,1,0.02,64-65
C81,Hodgkinlymphoma,11097,Notavailable,1,1,0.02,81
C11,Nasopharynx,8663,Notavailable,0.79,0.78,0.02,11
C15,Oesophagus,7530,Notavailable,0.69,0.68,0.01,15
C46,Kaposisarcoma,5267,Notavailable,0.48,0.48,0.01,46
C67,Bladder,4942,Notavailable,0.45,0.45,0.01,67
C23,Gallbladder,4626,Notavailable,0.42,0.42,0.01,23
C51,Vulva,4531,Notavailable,0.41,0.41,0.01,51
C25,Pancreas,4389,Notavailable,0.4,0.39,0.01,25
C07-08,Salivaryglands,4023,Notavailable,0.37,0.36,0.01,07-08
C88+C90,Multiplemyeloma,2827,Notavailable,0.26,0.26,0.01,88-90
C12-13,Hypopharynx,2018,Notavailable,0.18,0.18,0,12-13
C52,Vagina,1940,Notavailable,0.18,0.18,0,52
C32,Larynx,1597,Notavailable,0.15,0.14,0,32
C09-10,Oropharynx,1337,Notavailable,0.12,0.12,0,09-10
C45,Mesothelioma,583,Notavailable,0.05,0.05,0,45
