ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,15927,Notavailable,1.2,1.2,0.01,91-95
C70-72,"Brain,centralnervoussystem",7633,Notavailable,0.58,0.59,0.01,70-72
C82-86,Non-Hodgkinlymphoma,5005,Notavailable,0.38,0.38,0,82-86
C96,Non-Hodgkinlymphoma,5005,Notavailable,0.38,0.38,0,96
C64-65,Kidney,2097,Notavailable,0.16,0.16,0,64-65
C81,Hodgkinlymphoma,1683,Notavailable,0.13,0.13,0,81
C22,Liver,962,Notavailable,0.07,0.07,0,22
C56,Ovary,549,Notavailable,0.09,0.09,0,56
C11,Nasopharynx,475,Notavailable,0.04,0.04,0,11
C46,Kaposisarcoma,386,Notavailable,0.03,0.03,0,46
C00-06,"Lip,oralcavity",348,Notavailable,0.03,0.03,0,00-06
C73,Thyroid,276,Notavailable,0.02,0.02,0,73
C07-08,Salivaryglands,218,Notavailable,0.02,0.02,0,07-08
C62,Testis,211,Notavailable,0.03,0.03,0,62
C18-21,Colorectum,155,Notavailable,0.01,0.01,0,18-21
C67,Bladder,147,Notavailable,0.01,0.01,0,67
C33-34,Lung,144,Notavailable,0.01,0.01,0,33-34
C16,Stomach,137,Notavailable,0.01,0.01,0,16
C43,Melanomaofskin,92,Notavailable,0.01,0.01,0,43
C50,Breast,51,Notavailable,0.01,0.01,0,50
C32,Larynx,51,Notavailable,0,0,0,32
C53,Cervixuteri,38,Notavailable,0.01,0.01,0,53
C88+C90,Multiplemyeloma,37,Notavailable,0,0,0,88-90
C09-10,Oropharynx,34,Notavailable,0,0,0,09-10
C52,Vagina,34,Notavailable,0.01,0.01,0,52
C25,Pancreas,25,Notavailable,0,0,0,25
C51,Vulva,23,Notavailable,0,0,0,51
C15,Oesophagus,22,Notavailable,0,0,0,15
C12-13,Hypopharynx,15,Notavailable,0,0,0,12-13
C60,Penis,12,Notavailable,0,0,0,60
C61,Prostate,11,Notavailable,0,0,0,61
C23,Gallbladder,10,Notavailable,0,0,0,23
C54,Corpusuteri,5,Notavailable,0,0,0,54
C45,Mesothelioma,1,Notavailable,0,0,0,45
