ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,15620,Notavailable,1.3,1.3,0.01,91-95
C70-72,"Brain,centralnervoussystem",7318,Notavailable,0.61,0.6,0.01,70-72
C82-86,Non-Hodgkinlymphoma,5870,Notavailable,0.49,0.48,0,82-86
C96,Non-Hodgkinlymphoma,5870,Notavailable,0.49,0.48,0,96
C22,Liver,2561,Notavailable,0.21,0.21,0,22
C18-21,Colorectum,2251,Notavailable,0.19,0.18,0,18-21
C46,Kaposisarcoma,1862,Notavailable,0.15,0.15,0,46
C16,Stomach,1791,Notavailable,0.15,0.14,0,16
C81,Hodgkinlymphoma,1760,Notavailable,0.15,0.14,0,81
C00-06,"Lip,oralcavity",1754,Notavailable,0.15,0.14,0,00-06
C56,Ovary,1542,Notavailable,0.26,0.26,0,56
C50,Breast,1424,Notavailable,0.24,0.23,0,50
C11,Nasopharynx,1422,Notavailable,0.12,0.12,0,11
C33-34,Lung,1415,Notavailable,0.12,0.11,0,33-34
C53,Cervixuteri,1199,Notavailable,0.21,0.2,0,53
C62,Testis,1090,Notavailable,0.17,0.17,0,62
C64-65,Kidney,732,Notavailable,0.06,0.06,0,64-65
C15,Oesophagus,512,Notavailable,0.04,0.04,0,15
C25,Pancreas,375,Notavailable,0.03,0.03,0,25
C73,Thyroid,284,Notavailable,0.02,0.02,0,73
C43,Melanomaofskin,281,Notavailable,0.02,0.02,0,43
C07-08,Salivaryglands,245,Notavailable,0.02,0.02,0,07-08
C32,Larynx,206,Notavailable,0.02,0.02,0,32
C12-13,Hypopharynx,180,Notavailable,0.01,0.01,0,12-13
C67,Bladder,177,Notavailable,0.01,0.01,0,67
C88+C90,Multiplemyeloma,147,Notavailable,0.01,0.01,0,88-90
C23,Gallbladder,133,Notavailable,0.01,0.01,0,23
C61,Prostate,108,Notavailable,0.02,0.02,0,61
C54,Corpusuteri,71,Notavailable,0.01,0.01,0,54
C09-10,Oropharynx,61,Notavailable,0.01,0.01,0,09-10
C51,Vulva,45,Notavailable,0.01,0.01,0,51
C45,Mesothelioma,39,Notavailable,0,0,0,45
C60,Penis,22,Notavailable,0,0,0,60
C52,Vagina,18,Notavailable,0,0,0,52
