ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,9153,Notavailable,1.4,1.4,0.01,91-95
C70-72,"Brain,centralnervoussystem",4256,Notavailable,0.63,0.63,0,70-72
C64-65,Kidney,3120,Notavailable,0.46,0.46,0,64-65
C82-86,Non-Hodgkinlymphoma,2319,Notavailable,0.34,0.34,0,82-86
C96,Non-Hodgkinlymphoma,2319,Notavailable,0.34,0.34,0,96
C22,Liver,1223,Notavailable,0.18,0.18,0,22
C81,Hodgkinlymphoma,273,Notavailable,0.04,0.04,0,81
C62,Testis,224,Notavailable,0.06,0.06,0,62
C00-06,"Lip,oralcavity",170,Notavailable,0.03,0.03,0,00-06
C46,Kaposisarcoma,125,Notavailable,0.02,0.02,0,46
C11,Nasopharynx,92,Notavailable,0.01,0.01,0,11
C67,Bladder,86,Notavailable,0.01,0.01,0,67
C33-34,Lung,82,Notavailable,0.01,0.01,0,33-34
C56,Ovary,77,Notavailable,0.02,0.02,0,56
C16,Stomach,59,Notavailable,0.01,0.01,0,16
C07-08,Salivaryglands,45,Notavailable,0.01,0.01,0,07-08
C52,Vagina,45,Notavailable,0.01,0.01,0,52
C43,Melanomaofskin,43,Notavailable,0.01,0.01,0,43
C32,Larynx,39,Notavailable,0.01,0.01,0,32
C18-21,Colorectum,29,Notavailable,0,0,0,18-21
C25,Pancreas,24,Notavailable,0,0,0,25
C50,Breast,19,Notavailable,0.01,0.01,0,50
C73,Thyroid,15,Notavailable,0,0,0,73
C09-10,Oropharynx,13,Notavailable,0,0,0,09-10
C88+C90,Multiplemyeloma,11,Notavailable,0,0,0,88-90
C51,Vulva,11,Notavailable,0,0,0,51
C61,Prostate,8,Notavailable,0,0,0,61
C12-13,Hypopharynx,7,Notavailable,0,0,0,12-13
C15,Oesophagus,5,Notavailable,0,0,0,15
C60,Penis,5,Notavailable,0,0,0,60
C23,Gallbladder,4,Notavailable,0,0,0,23
C53,Cervixuteri,3,Notavailable,0,0,0,53
C45,Mesothelioma,3,Notavailable,0,0,0,45
