ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,77287,Notavailable,7,7,0.15,50
C22,Liver,56441,Notavailable,2.5,2.5,0.05,22
C53,Cervixuteri,55878,Notavailable,5.1,5,0.11,53
C91-95,Leukaemia,40333,Notavailable,1.8,1.8,0.04,91-95
C33-34,Lung,34156,Notavailable,1.5,1.5,0.03,33-34
C18-21,Colorectum,34063,Notavailable,1.5,1.5,0.03,18-21
C70-72,"Brain,centralnervoussystem",33052,Notavailable,1.5,1.5,0.03,70-72
C16,Stomach,29233,Notavailable,1.3,1.3,0.03,16
C00-06,"Lip,oralcavity",25266,Notavailable,1.1,1.1,0.02,00-06
C82-86,Non-Hodgkinlymphoma,22587,Notavailable,1,1,0.02,82-86
C96,Non-Hodgkinlymphoma,22587,Notavailable,1,1,0.02,96
C15,Oesophagus,17829,Notavailable,0.8,0.8,0.02,15
C56,Ovary,15740,Notavailable,1.4,1.4,0.03,56
C11,Nasopharynx,10276,Notavailable,0.46,0.46,0.01,11
C25,Pancreas,9095,Notavailable,0.41,0.41,0.01,25
C46,Kaposisarcoma,7434,Notavailable,0.33,0.33,0.01,46
C64-65,Kidney,5555,Notavailable,0.25,0.25,0.01,64-65
C23,Gallbladder,4587,Notavailable,0.2,0.2,0,23
C81,Hodgkinlymphoma,4290,Notavailable,0.19,0.19,0,81
C43,Melanomaofskin,4084,Notavailable,0.18,0.18,0,43
C62,Testis,3603,Notavailable,0.32,0.31,0.01,62
C54,Corpusuteri,3233,Notavailable,0.29,0.29,0.01,54
C32,Larynx,3158,Notavailable,0.14,0.14,0,32
C12-13,Hypopharynx,3151,Notavailable,0.14,0.14,0,12-13
C88+C90,Multiplemyeloma,3085,Notavailable,0.14,0.14,0,88-90
C67,Bladder,2840,Notavailable,0.13,0.13,0,67
C09-10,Oropharynx,2512,Notavailable,0.11,0.11,0,09-10
C73,Thyroid,2329,Notavailable,0.1,0.1,0,73
C07-08,Salivaryglands,1449,Notavailable,0.06,0.06,0,07-08
C51,Vulva,1172,Notavailable,0.11,0.1,0,51
C61,Prostate,1159,Notavailable,0.1,0.1,0,61
C45,Mesothelioma,760,Notavailable,0.03,0.03,0,45
C52,Vagina,729,Notavailable,0.07,0.07,0,52
C60,Penis,722,Notavailable,0.06,0.06,0,60
