ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,9523,Notavailable,1.4,1.4,0.01,91-95
C70-72,"Brain,centralnervoussystem",4306,Notavailable,0.64,0.64,0.01,70-72
C82-86,Non-Hodgkinlymphoma,3152,Notavailable,0.47,0.47,0,82-86
C96,Non-Hodgkinlymphoma,3152,Notavailable,0.47,0.47,0,96
C81,Hodgkinlymphoma,1223,Notavailable,0.18,0.18,0,81
C64-65,Kidney,1043,Notavailable,0.15,0.16,0,64-65
C22,Liver,588,Notavailable,0.09,0.09,0,22
C11,Nasopharynx,281,Notavailable,0.04,0.04,0,11
C46,Kaposisarcoma,242,Notavailable,0.04,0.04,0,46
C62,Testis,211,Notavailable,0.03,0.03,0,62
C00-06,"Lip,oralcavity",198,Notavailable,0.03,0.03,0,00-06
C07-08,Salivaryglands,118,Notavailable,0.02,0.02,0,07-08
C67,Bladder,114,Notavailable,0.02,0.02,0,67
C18-21,Colorectum,108,Notavailable,0.02,0.02,0,18-21
C16,Stomach,88,Notavailable,0.01,0.01,0,16
C73,Thyroid,86,Notavailable,0.01,0.01,0,73
C33-34,Lung,80,Notavailable,0.01,0.01,0,33-34
C43,Melanomaofskin,54,Notavailable,0.01,0.01,0,43
C32,Larynx,40,Notavailable,0.01,0.01,0,32
C88+C90,Multiplemyeloma,22,Notavailable,0,0,0,88-90
C25,Pancreas,18,Notavailable,0,0,0,25
C09-10,Oropharynx,18,Notavailable,0,0,0,09-10
C15,Oesophagus,15,Notavailable,0,0,0,15
C12-13,Hypopharynx,12,Notavailable,0,0,0,12-13
C60,Penis,12,Notavailable,0,0,0,60
C61,Prostate,11,Notavailable,0,0,0,61
C23,Gallbladder,3,Notavailable,0,0,0,23
C45,Mesothelioma,1,Notavailable,0,0,0,45
