ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C33-34,Lung,401847,Notavailable,49.4,49.5,1.09,33-34
C22,Liver,268640,Notavailable,33,32.9,0.7,22
C16,Stomach,176309,Notavailable,21.7,21.7,0.47,16
C15,Oesophagus,152377,Notavailable,18.7,18.7,0.41,15
C18-21,Colorectum,146552,Notavailable,18,18.1,0.39,18-21
C25,Pancreas,80630,Notavailable,9.9,9.9,0.22,25
C00-06,"Lip,oralcavity",59586,Notavailable,7.3,7.3,0.15,00-06
C70-72,"Brain,centralnervoussystem",56159,Notavailable,6.9,6.9,0.15,70-72
C91-95,Leukaemia,46225,Notavailable,5.7,5.7,0.12,91-95
C82-86,Non-Hodgkinlymphoma,44442,Notavailable,5.5,5.5,0.12,82-86
C96,Non-Hodgkinlymphoma,44442,Notavailable,5.5,5.5,0.12,96
C61,Prostate,40821,Notavailable,5,5.1,0.12,61
C64-65,Kidney,38091,Notavailable,4.7,4.7,0.1,64-65
C32,Larynx,37007,Notavailable,4.6,4.5,0.1,32
C11,Nasopharynx,31147,Notavailable,3.8,3.8,0.08,11
C67,Bladder,29182,Notavailable,3.6,3.6,0.08,67
C09-10,Oropharynx,20775,Notavailable,2.6,2.5,0.05,09-10
C88+C90,Multiplemyeloma,19783,Notavailable,2.4,2.4,0.05,88-90
C12-13,Hypopharynx,13863,Notavailable,1.7,1.7,0.04,12-13
C43,Melanomaofskin,9764,Notavailable,1.2,1.2,0.03,43
C23,Gallbladder,9755,Notavailable,1.2,1.2,0.03,23
C60,Penis,5966,Notavailable,0.73,0.73,0.02,60
C07-08,Salivaryglands,5174,Notavailable,0.64,0.64,0.01,07-08
C73,Thyroid,5046,Notavailable,0.62,0.62,0.01,73
C81,Hodgkinlymphoma,4287,Notavailable,0.53,0.53,0.01,81
C45,Mesothelioma,3737,Notavailable,0.46,0.46,0.01,45
C46,Kaposisarcoma,2251,Notavailable,0.28,0.28,0.01,46
C62,Testis,2166,Notavailable,0.27,0.27,0.01,62
