ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,9420,Notavailable,1.5,1.5,0.02,91-95
C70-72,"Brain,centralnervoussystem",4229,Notavailable,0.68,0.67,0.01,70-72
C82-86,Non-Hodgkinlymphoma,3571,Notavailable,0.57,0.57,0.01,82-86
C96,Non-Hodgkinlymphoma,3571,Notavailable,0.57,0.57,0.01,96
C22,Liver,1673,Notavailable,0.27,0.26,0,22
C00-06,"Lip,oralcavity",1420,Notavailable,0.23,0.22,0,00-06
C18-21,Colorectum,1303,Notavailable,0.21,0.2,0,18-21
C81,Hodgkinlymphoma,1097,Notavailable,0.18,0.17,0,81
C62,Testis,1090,Notavailable,0.17,0.17,0,62
C46,Kaposisarcoma,1078,Notavailable,0.17,0.17,0,46
C16,Stomach,911,Notavailable,0.15,0.14,0,16
C11,Nasopharynx,888,Notavailable,0.14,0.14,0,11
C33-34,Lung,860,Notavailable,0.14,0.13,0,33-34
C64-65,Kidney,389,Notavailable,0.06,0.06,0,64-65
C15,Oesophagus,264,Notavailable,0.04,0.04,0,15
C25,Pancreas,208,Notavailable,0.03,0.03,0,25
C43,Melanomaofskin,171,Notavailable,0.03,0.03,0,43
C07-08,Salivaryglands,128,Notavailable,0.02,0.02,0,07-08
C12-13,Hypopharynx,122,Notavailable,0.02,0.02,0,12-13
C67,Bladder,116,Notavailable,0.02,0.02,0,67
C61,Prostate,108,Notavailable,0.02,0.02,0,61
C32,Larynx,104,Notavailable,0.02,0.02,0,32
C88+C90,Multiplemyeloma,101,Notavailable,0.02,0.02,0,88-90
C73,Thyroid,86,Notavailable,0.01,0.01,0,73
C23,Gallbladder,54,Notavailable,0.01,0.01,0,23
C09-10,Oropharynx,52,Notavailable,0.01,0.01,0,09-10
C45,Mesothelioma,33,Notavailable,0.01,0.01,0,45
C60,Penis,22,Notavailable,0,0,0,60
