ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,3989,Notavailable,1.2,1.2,0.01,91-95
C70-72,"Brain,centralnervoussystem",1781,Notavailable,0.54,0.54,0,70-72
C64-65,Kidney,1533,Notavailable,0.47,0.47,0,64-65
C82-86,Non-Hodgkinlymphoma,867,Notavailable,0.26,0.26,0,82-86
C96,Non-Hodgkinlymphoma,867,Notavailable,0.26,0.26,0,96
C22,Liver,520,Notavailable,0.16,0.16,0,22
C56,Ovary,77,Notavailable,0.02,0.02,0,56
C00-06,"Lip,oralcavity",66,Notavailable,0.02,0.02,0,00-06
C81,Hodgkinlymphoma,64,Notavailable,0.02,0.02,0,81
C46,Kaposisarcoma,47,Notavailable,0.01,0.01,0,46
C52,Vagina,45,Notavailable,0.01,0.01,0,52
C33-34,Lung,31,Notavailable,0.01,0.01,0,33-34
C67,Bladder,25,Notavailable,0.01,0.01,0,67
C11,Nasopharynx,23,Notavailable,0.01,0.01,0,11
C07-08,Salivaryglands,22,Notavailable,0.01,0.01,0,07-08
C16,Stomach,21,Notavailable,0.01,0.01,0,16
C50,Breast,19,Notavailable,0.01,0.01,0,50
C43,Melanomaofskin,15,Notavailable,0,0,0,43
C18-21,Colorectum,14,Notavailable,0,0,0,18-21
C32,Larynx,13,Notavailable,0,0,0,32
C25,Pancreas,12,Notavailable,0,0,0,25
C51,Vulva,11,Notavailable,0,0,0,51
C73,Thyroid,9,Notavailable,0,0,0,73
C09-10,Oropharynx,7,Notavailable,0,0,0,09-10
C23,Gallbladder,4,Notavailable,0,0,0,23
C88+C90,Multiplemyeloma,4,Notavailable,0,0,0,88-90
C53,Cervixuteri,3,Notavailable,0,0,0,53
C15,Oesophagus,2,Notavailable,0,0,0,15
C12-13,Hypopharynx,2,Notavailable,0,0,0,12-13
