ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C91-95,Leukaemia,6404,Notavailable,1,1,0.01,91-95
C70-72,"Brain,centralnervoussystem",3327,Notavailable,0.53,0.53,0.01,70-72
C82-86,Non-Hodgkinlymphoma,1853,Notavailable,0.29,0.29,0,82-86
C96,Non-Hodgkinlymphoma,1853,Notavailable,0.29,0.29,0,96
C64-65,Kidney,1054,Notavailable,0.17,0.17,0,64-65
C56,Ovary,549,Notavailable,0.09,0.09,0,56
C81,Hodgkinlymphoma,460,Notavailable,0.07,0.07,0,81
C22,Liver,374,Notavailable,0.06,0.06,0,22
C11,Nasopharynx,194,Notavailable,0.03,0.03,0,11
C73,Thyroid,190,Notavailable,0.03,0.03,0,73
C00-06,"Lip,oralcavity",150,Notavailable,0.02,0.02,0,00-06
C46,Kaposisarcoma,144,Notavailable,0.02,0.02,0,46
C07-08,Salivaryglands,100,Notavailable,0.02,0.02,0,07-08
C33-34,Lung,64,Notavailable,0.01,0.01,0,33-34
C50,Breast,51,Notavailable,0.01,0.01,0,50
C16,Stomach,49,Notavailable,0.01,0.01,0,16
C18-21,Colorectum,47,Notavailable,0.01,0.01,0,18-21
C53,Cervixuteri,38,Notavailable,0.01,0.01,0,53
C43,Melanomaofskin,38,Notavailable,0.01,0.01,0,43
C52,Vagina,34,Notavailable,0.01,0.01,0,52
C67,Bladder,33,Notavailable,0.01,0.01,0,67
C51,Vulva,23,Notavailable,0,0,0,51
C09-10,Oropharynx,16,Notavailable,0,0,0,09-10
C88+C90,Multiplemyeloma,15,Notavailable,0,0,0,88-90
C32,Larynx,11,Notavailable,0,0,0,32
C25,Pancreas,7,Notavailable,0,0,0,25
C15,Oesophagus,7,Notavailable,0,0,0,15
C23,Gallbladder,7,Notavailable,0,0,0,23
C54,Corpusuteri,5,Notavailable,0,0,0,54
C12-13,Hypopharynx,3,Notavailable,0,0,0,12-13
