ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,range
C50,Breast,77287,Notavailable,7,7,0.15,50
C53,Cervixuteri,55878,Notavailable,5.1,5,0.11,53
C91-95,Leukaemia,18154,Notavailable,1.7,1.6,0.03,91-95
C18-21,Colorectum,16156,Notavailable,1.5,1.5,0.03,18-21
C56,Ovary,15740,Notavailable,1.4,1.4,0.03,56
C16,Stomach,14248,Notavailable,1.3,1.3,0.03,16
C70-72,"Brain,centralnervoussystem",14058,Notavailable,1.3,1.3,0.03,70-72
C33-34,Lung,12655,Notavailable,1.2,1.2,0.02,33-34
C22,Liver,11946,Notavailable,1.1,1.1,0.02,22
C82-86,Non-Hodgkinlymphoma,9534,Notavailable,0.87,0.86,0.02,82-86
C96,Non-Hodgkinlymphoma,9534,Notavailable,0.87,0.86,0.02,96
C15,Oesophagus,6247,Notavailable,0.57,0.57,0.01,15
C00-06,"Lip,oralcavity",4643,Notavailable,0.42,0.42,0.01,00-06
C54,Corpusuteri,3233,Notavailable,0.29,0.29,0.01,54
C23,Gallbladder,3220,Notavailable,0.29,0.29,0.01,23
C25,Pancreas,3174,Notavailable,0.29,0.29,0.01,25
C11,Nasopharynx,2890,Notavailable,0.26,0.26,0.01,11
C46,Kaposisarcoma,2594,Notavailable,0.24,0.24,0,46
C64-65,Kidney,2196,Notavailable,0.2,0.2,0,64-65
C43,Melanomaofskin,1984,Notavailable,0.18,0.18,0,43
C81,Hodgkinlymphoma,1680,Notavailable,0.15,0.15,0,81
C73,Thyroid,1576,Notavailable,0.14,0.14,0,73
C88+C90,Multiplemyeloma,1250,Notavailable,0.11,0.11,0,88-90
C51,Vulva,1172,Notavailable,0.11,0.1,0,51
C12-13,Hypopharynx,1095,Notavailable,0.1,0.1,0,12-13
C67,Bladder,1052,Notavailable,0.1,0.09,0,67
C32,Larynx,819,Notavailable,0.07,0.07,0,32
C52,Vagina,729,Notavailable,0.07,0.07,0,52
C07-08,Salivaryglands,649,Notavailable,0.06,0.06,0,07-08
C09-10,Oropharynx,459,Notavailable,0.04,0.04,0,09-10
C45,Mesothelioma,355,Notavailable,0.03,0.03,0,45
